BUSINESSID,X_Coord,Y_Coord,PARENTNAME,NAME,TRAFFIC_ZONE,FULL_ADDRESS,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIR,UNIT_NUM,COMMUNITY,MUNICIPALITY,PROVINCE,COUNTRY,POST_CODE,MAIL_FULL_ADDRESS,MAIL_STREET_NUM,MAIL_STREET_NAME,MAIL_STREET_TYPE,MAIL_STREET_DIR,MAIL_UNIT_NUM,MAIL_COMMUNITY,MAIL_MUNICIPALITY,MAIL_PROVINCE,MAIL_COUNTRY,MAIL_POST_CODE,MAIL_POBOX,PRIM_NAICS,PRIM_NAICS_DESC,SEC_NAICS,SEC_NAICS_DESC,PRIM_BUS_CLUSTER,SEC_BUS_CLUSTER,BUS_ACTIVITY_DESC,MANUFACTURER,CAN_HEADOFFICE,HEADOFFICEPROVSTATE,HEADOFFICECOUNTRY,EMPLOYEE_RANGE,YR_CURRENTLOC,WEBSITE,GEN_BUS_EMAIL,PHONE_NO,PHONE_EXT,FAX_NO,TOLLFREE_NO,TOLLFREE_EXT,UPDATEMETHOD,LAST_SURVEYED,LAST_UPDATED
56833,624832,4861864, ,WYNN FITNESS CLUBS,1404,11160 YONGE STREET,11160,YONGE,Street, ,6,Richmond Hill,Richmond Hill,ONTARIO,CANADA,L4S1H5,11160 YONGE STREET,11160,YONGE,Street, ,6,Richmond Hill,Richmond Hill,ONTARIO,CANADA,L4S1H5, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,55111,MANAGEMENT OF COMPANIES AND ENTERPRISES, , ,GYM AND FITNESS CENTER,0,1,ON,NOT APPLICABLE,20-49,2007,WWW.WYNNFITNESS.COM,RHSALES@WYNNFITNESS.COM,905-787-0007,0,905-787-0638, , ,Phone,12/20/2019,6/5/2019
57065,621255,4877914,TOWN OF NEWMARKET,RAY TWINNEY RECREATION COMPLEX,1250,100 EAGLE STREET WEST,100,EAGLE,Street,W, ,Newmarket,Newmarket,ONTARIO,CANADA,L3Y1J4,100 EAGLE STREET WEST,100,EAGLE,Street,W, ,Newmarket,Newmarket,ONTARIO,CANADA,L3Y1J4, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , ,UNDEFINED,UNDEFINED,RECREATION CENTRE FEATURING TWO ARENAS AND INDOOR POOL,0,0,ON,CANADA,50-99,1985,WWW.NEWMARKET.CA,INFO@NEWMARKET.CA,905-953-5301,0,905-953-5329, , , ,12/20/2019,10/2/2015
57127,617850,4849454, ,GOODLIFE FITNESS,1061,90 INTERCHANGE WAY,90,INTERCHANGE,Way, , ,Concord,Vaughan,ONTARIO,CANADA,L4K5C3,90 INTERCHANGE WAY,90,INTERCHANGE,Way, , ,Concord,Vaughan,ONTARIO,CANADA,L4K5C3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,FITNESS CENTRE,0,0,ON,NOT APPLICABLE,20-49,2000,WWW.GOODLIFEFITNESS.COM,VAUGHANINTERCHANGE@GOODLIFEFITNESS.COM,905-850-4402,0, , , ,In Person,12/20/2019,8/6/2019
57175,626621,4852750, ,THORNHILL PARK TENNIS CLUB,1102,26 OLD YONGE STREET,26,OLD YONGE,Street, ,A,Vaughan,Vaughan,ONTARIO,CANADA,L4J8C5,26 OLD YONGE STREET,26,OLD YONGE,Street, ,A,Vaughan,Vaughan,ONTARIO,CANADA,L4J8C5, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,61162,ATHLETIC INSTRUCTION, , ,"TENNIS CLUB, TENNIS LESSONS, SUMMER CAMPS, AND MEMBERSHIPS",0,0,NA,NOT APPLICABLE,19-Oct,1951,WWW.THORNHILLPARKTENNISCLUB.CA,INFO@THORNHILLPARKTENNISCLUB.CA,905-731-5551,0, , , ,Phone,12/20/2019,8/31/2018
57239,622090,4877545, ,YOGA SOURCE,1462,16925 YONGE STREET,16925,YONGE,Street, ,25,Newmarket,Newmarket,ONTARIO,CANADA,L3Y5Y1,16925 YONGE STREET,16925,YONGE,Street, ,25,Newmarket,Newmarket,ONTARIO,CANADA,L3Y5Y1, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,YOGA STUDIO AND MASSAGE THERAPY,0,0,NA,NOT APPLICABLE,9-May,2005,WWW.YOGASOURCE.CA,INFO@YOGASOURCE.CA,905-830-9700,0, , , ,In Person,12/20/2019,6/3/2019
57293,624348,4852946,CITY OF VAUGHAN,CITY OF VAUGHAN ROSEMOUNT COMMUNITY CENTRE,1092,1000 NEW WESTMINSTER DRIVE,1000,NEW WESTMINSTER,Drive, , ,Thornhill,Vaughan,ONTARIO,CANADA,L4J8G3,1000 NEW WESTMINSTER DRIVE,1000,NEW WESTMINSTER,Drive, , ,Thornhill,Vaughan,ONTARIO,CANADA,L4J8G3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,91391,"OTHER LOCAL, MUNICIPAL AND REGIONAL PUBLIC ADMINISTRATION",TOURISM,UNDEFINED,ARENA AND FITNESS FACILITY IN COMMUNITY CENTRE,0,0,ON,CANADA,20-49,1996,WWW.VAUGHAN.CA, ,905-709-4597,0, , , ,other,12/20/2019,10/11/2019
57334,625939,4881847, ,ADVENTURE SPORTS NEWMARKET INC.,1264,350 HARRY WALKER PARKWAY,350,HARRY WALKER,Parkway,N,3,Newmarket,Newmarket,ONTARIO,CANADA,L3Y8L3,350 HARRY WALKER PARKWAY NORTH,350,HARRY WALKER,Parkway,N,3,Newmarket,Newmarket,ONTARIO,CANADA,L3Y8L3, ,45111,SPORTING GOODS STORES,61162,ATHLETIC INSTRUCTION, , ,RETAILER OF DIVING EQUIPMENT AND ACCESSORIES.  ALSO PROVIDES WALK IN TRAINING.,0,0,NA,NOT APPLICABLE,4-Jan,2013,WWW.ADVENTURESPORTS.CA,INFO@ADVENTURESPORTS.CA,905-898-5338,0,905-898-5338, , ,In Person,12/20/2019,5/16/2019
57452,633901,4887293, ,EAST GWILLIMBURY SOCCER CLUB,1330,5057 MOUNT ALBERT ROAD,5057,MOUNT ALBERT,Road, , ,Mount Albert,East Gwillimbury,ONTARIO,CANADA,L0G1M0,5057 MOUNT ALBERT ROAD,5057,MOUNT ALBERT,Road, , ,Mount Albert,East Gwillimbury,ONTARIO,CANADA,L0G1M0,1212,71121,SPECTATOR SPORTS, , , , ,"SOCCER CLUB ORGANIZATION, REGISTRATION SCHEDULING 
NON PROFIT",0,0,NA,CANADA,9-May,2017,WWW.EASTGWILLIMBURYSOCCER.COM,ADMIN@EGSC.CA,905-473-7656,0,905-473-6329, , ,Phone,12/20/2019,6/10/2019
57854,619111,4860071, ,VAUGHAN SOCCER CLUB INC.,1075,11151 KEELE STREET,11151,KEELE,Street, , ,Maple,Vaughan,ONTARIO,CANADA,L6A1S1,11151 KEELE STREET,11151,KEELE,Street, , ,Maple,Vaughan,ONTARIO,CANADA,L6A1S1,852,71121,SPECTATOR SPORTS, , , , ,SOCCER CLUB: PROVIDE YOUTH AND ADULT RECREATIONAL/COMPETITIVE PROGRAMS,0,0,NA,NOT APPLICABLE,50-99,2006,WWW.VAUGHANSOCCER.COM,ADMIN@VAUGHANSOCCER.COM,905-832-0911,0,905-832-0624, , ,In Person,12/20/2019,5/23/2019
57866,619372,4858498, ,PURE FX FITNESS STUDIOS,1076,10557 KEELE STREET,10557,KEELE,Street, ,1,Maple,Vaughan,ONTARIO,CANADA,L6A0J5,10557 KEELE STREET,10557,KEELE,Street, ,1,Maple,Vaughan,ONTARIO,CANADA,L6A0J5, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,FITNESS CENTRE,0,0,NA,NOT APPLICABLE,9-May,2007,WWW.PUREFXFITNESS.COM,INFO@PUREFXFITNESS.COM,905-303-9900,0,905-303-9908, , ,In Person,12/20/2019,5/22/2019
57986,630038,4856057, ,THE PARKWAY HEALTH AND RAQUET CLUB,1423,9009 LESLIE STREET,9009,LESLIE,Street, , ,Richmond Hill,Richmond Hill,ONTARIO,CANADA,L4B1M3,9009 LESLIE STREET,9009,LESLIE,Street, , ,Richmond Hill,Richmond Hill,ONTARIO,CANADA,L4B1M3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"GYM FOR HOTEL, RACQUET BALL CENTRE, FITNESS FACILITY",0,0,NA,NOT APPLICABLE,20-49,1970,WWW.PARKWAYHEALTHCLUB.COM,PHRC@SHERATONPARKWAY.COM,905-882-3106,0,905-695-2855, , ,In Person,12/20/2019,7/17/2019
58142,619081,4854744, ,THE SPORTS VILLAGE,1069,2600 RUTHERFORD ROAD,2600,RUTHERFORD,Road, , ,Concord,Vaughan,ONTARIO,CANADA,L4K5R1,2600 RUTHERFORD ROAD,2600,RUTHERFORD,Road, , ,Concord,Vaughan,ONTARIO,CANADA,L4K5R1, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,72251,FULL-SERVICE RESTAURANTS AND LIMITED-SERVICE EATING PLACES, , ,"COMMUNITY RECREATIONAL SPORTS FACILITY INCLUDING ICE RINKS, OUTDOOR BEACH VOLLEYBALL, OUTDOOR BASKETBALL, FULLY LICENSED RESTAURANT AND PROVIDE BIRTHDAY PARTIES AND CORPORATE EVENTS. VARIOUS HOCKEY LEAGUES YEAR ROUND INCLUDING ADULT YEAR ROUND AND YOUT",0,0,NA,NOT APPLICABLE,50-99,2000,WWW.SPORTSVILLAGE.CA,CUSTOMERCARE@SPORTSVILLAGE.CA,905-738-7574,0, , , ,Phone,12/20/2019,5/25/2018
58352,626410,4874334,TOWN OF AURORA,STRONACH AURORA RECREATION COMPLEX,1243,1400 WELLINGTON STREET EAST,1400,WELLINGTON,Street,E, ,Aurora,Aurora,ONTARIO,CANADA,L4G7B6,100 JOHN WEST WAY,100,JOHN WEST,Way, , ,Aurora,Aurora,ONTARIO,CANADA,L4G6J1,1000,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,53112,LESSORS OF NON-RESIDENTIAL BUILDINGS (EXCEPT MINI-WAREHOUSES),TOURISM,UNDEFINED,"ARENAS, AQUATICS CENTRE, MEETING ROOMS, SPORTS FIELDS",0,0,ON,CANADA,100-499,2006,WWW.AURORA.CA,INFO@AURORA.CA,905-726-4770,0, , , , ,12/20/2019,9/27/2016
58356,623181,4871672, ,FITNESS CLUBS OF CANADA,1238,14751 YONGE STREET,14751,YONGE,Street, ,3,Aurora,Aurora,ONTARIO,CANADA,L4G1N1,14751 YONGE STREET,14751,YONGE,Street, ,3,Aurora,Aurora,ONTARIO,CANADA,L4G1N1, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"FITNESS CLUB, GYM, PERSONAL TRAINERS",0,0,NA,NOT APPLICABLE,20-49,2004,WWW.FITNESSCLUBSOFCANADA.COM, ,905-727-1100,0,905-727-0711, , ,Phone,12/20/2019,7/16/2018
58688,633356,4853884, ,TABLE TENNIS ACADEMY,1178,320 DON PARK ROAD,320,DON PARK,Road, ,20,Markham,Markham,ONTARIO,CANADA,L3R1J4,320 DON PARK ROAD,320,DON PARK,Road, ,20,Markham,Markham,ONTARIO,CANADA,L3R1J4, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,TABLE TENNIS ACADEMY,0,0,ON,CANADA,4-Jan,0, , ,416-820-8011,0, , , ,Phone,12/20/2019,8/31/2018
58816,638270,4855620,CITY OF MARKHAM,ARMADALE COMMUNITY CENTRE,1201,2401 DENISON STREET,2401,DENISON,Street, , ,Markham,Markham,ONTARIO,CANADA,L3S1G3,2401 DENISON STREET,2401,DENISON,Street, , ,Markham,Markham,ONTARIO,CANADA,L3S1G3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , ,TOURISM,UNDEFINED,ARENA AND COMMUNITY CENTRE,0,0,NA,NOT APPLICABLE,20-49,0,WWW.MARKHAM.CA, ,905-474-1007,0, , , ,other,12/20/2019,9/17/2019
59048,633690,4861533,CITY OF MARKHAM,ANGUS GLEN COMMUNITY CENTRE,1191,3990 MAJOR MACKENZIE DRIVE EAS,3990,MAJOR MACKENZIE,Drive,E, ,Markham,Markham,ONTARIO,CANADA,L6C1P8,3990 MAJOR MACKENZIE DRIVE EAS,3990,MAJOR MACKENZIE,Drive,E, ,Markham,Markham,ONTARIO,CANADA,L6C1P8, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , ,TOURISM,UNDEFINED,ARENA AND COMMUNITY CENTRE,0,0,NA,NOT APPLICABLE,100-499,2003,WWW.MARKHAM.CA, ,905-944-3777,0,905-944-3775, , ,other,12/20/2019,9/17/2019
59236,638079,4859446, ,MARKVILLE FITNESS,1206,190 BULLOCK DRIVE,190,BULLOCK,Drive, ,9-Jun,Markham,Markham,ONTARIO,CANADA,L3P7N3,190 BULLOCK DRIVE,190,BULLOCK,Drive, ,9-Jun,Markham,Markham,ONTARIO,CANADA,L3P7N3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,FITNESS CENTRE,0,0,NA,NOT APPLICABLE,4-Jan,2006,WWW.MARKVILLEFITNESS.CA,MARKVILLEFITNESS@GMAIL.COM,905-209-0763,0, , , ,In Person,12/20/2019,7/24/2019
59332,637551,4858685, ,GOODLIFE FITNESS,1444,5000 HIGHWAY 7,5000,7, , , ,Markham,Markham,ONTARIO,CANADA,L3R4M9,5000 HIGHWAY 7,5000,7, , , ,Markham,Markham,ONTARIO,CANADA,L3R4M9, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,FITNESS GYM,0,0,ON,CANADA,20-49,2012,WWW.GOODLIFEFITNESS.COM,MARKHAMMARKVILLE@GOODLIFEFITNESS.COM,905-479-5343,0,905-479-1806, , ,In Person,12/20/2019,7/22/2019
59341,637558,4859206,CITY OF MARKHAM,MARKHAM CENTENNIAL COMMUNITY CENTRE,1197,8600 MCCOWAN ROAD,8600,MCCOWAN,Road, , ,Markham,Markham,ONTARIO,CANADA,L3P3M2,8600 MCCOWAN ROAD,8600,MCCOWAN,Road, , ,Markham,Markham,ONTARIO,CANADA,L3P3M2, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , ,TOURISM,UNDEFINED,COMMUNITY CENTRE,0,0,NA,NOT APPLICABLE,100-499,1972,WWW.MARKHAM.CA, ,905-294-6111,0, , , ,other,12/20/2019,9/18/2019
59513,635387,4857627, ,TENNIS CENTRAL,1184,4261 HIGHWAY 7,4261,7, , ,A15,Markham,Markham,ONTARIO,CANADA,L3R9W6,4261 HIGHWAY 7,4261,7, , ,A15,Markham,Markham,ONTARIO,CANADA,L3R9W6, ,45111,SPORTING GOODS STORES, , , , ,"TENNIS SPORTING GOODS STORE, RACQUET REPAIR",0,0,NA,NOT APPLICABLE,4-Jan,2006,WWW.TENNISCENTRAL.CA,MAIL@TENNISCENTRAL.CA,905-474-3569,0,905-474-2652, , ,Phone,12/20/2019,8/31/2018
59554,634712,4857372, ,RUNNING ROOM CANADA INC.,1184,3987 HIGHWAY 7,3987,7, , ,5,Markham,Markham,ONTARIO,CANADA,L3R5M6,3987 HIGHWAY 7,3987,7, , ,5,Markham,Markham,ONTARIO,CANADA,L3R5M6, ,45111,SPORTING GOODS STORES, , , , ,"SPORT, RUNNING CLOTHING, ACCESSORIES RETAIL STORE, PROVIDE RUNNING TRAINING AS WELL.",0,0,AB,CANADA,9-May,2012,WWW.RUNNINGROOM.COM,MARKHAM@RUNNINGROOM.COM,905-479-6253,0, , , ,Phone,12/20/2019,7/30/2019
60366,637445,4858330, ,MODO YOGA,1198,5051 HIGHWAY 7,5051,7, , ,4-Feb,Markham,Markham,ONTARIO,CANADA,L3R1N3,5051 HIGHWAY 7,5051,7, , ,4-Feb,Markham,Markham,ONTARIO,CANADA,L3R1N3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"YOGA/FITNESS STUDIO, HOT YOGA",0,0,NA, ,9-May,2007,WWW.MODOYOGAMARKHAM.COM,INFO@MODAYOGAMARKHAM.COM,905-474-9642,0, , , ,In Person,12/20/2019,8/9/2019
60478,621929,4852396, ,NORTHEASTERN SWIMMING POOL DISTRIBUTORS,1084,282 NORTH RIVERMEDE ROAD,282,RIVERMEDE,Road, ,1,Concord,Vaughan,ONTARIO,CANADA,L4K3N6,282 NORTH RIVERMEDE ROAD,282,RIVERMEDE,Road, ,1,Concord,Vaughan,ONTARIO,CANADA,L4K3N6, ,41447,AMUSEMENT AND SPORTING GOODS WHOLESALER-DISTRIBUTORS, , , , ,"WHOLESALER AND DISTRIBUTORS OF SWIMMING POOLS, PRODUCTS AND ACCESSORIES OUTDOOR AND INDOOR",0,0,ON,CANADA,19-Oct,2010,WWW.NSPD.NET,SALES@NSPD.NET,905-761-7946,0,905-761-0920,888-785-9676, ,In Person,12/20/2019,6/3/2019
60489,639662,4859733, ,WHYTE FITNESS,1446,98 MAIN MARKHAM STREET NORTH,98,MAIN MARKHAM,Street,N, ,Markham,Markham,ONTARIO,CANADA,L3P1X8,98 MAIN MARKHAM STREET NORTH,98,MAIN MARKHAM,Street,N, ,Markham,Markham,ONTARIO,CANADA,L3P1X8, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"FITNESS FACILITY, ONE ON ONE FITNESS CLASSES; PHYSICAL THERAPY",0,0,NA,NOT APPLICABLE,9-May,2000,WWW.WHYTEFITNESS.COM,WHYTEFITNESS@GMAIL.COM,905-471-5433,0, , , ,Phone,12/20/2019,8/7/2019
60527,620611,4851618, ,GYMALAYA,1083,8051 KEELE STREET,8051,KEELE,Street, ,1,Concord,Vaughan,ONTARIO,CANADA,L4K1Y9,8051 KEELE STREET,8051,KEELE,Street, ,1,Concord,Vaughan,ONTARIO,CANADA,L4K1Y9, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,71312,AMUSEMENT ARCADES, , ,GYMNASTICS CENTRE. KIDS BIRTHDAY PARTIES. KIDS GYMNASTICS,0,0,NA,NOT APPLICABLE,19-Oct,2006,WWW.GYMALAYA.COM,INFO@GYMALAYA.COM,905-760-5655,0, , , ,Phone,12/20/2019,8/6/2019
60739,625063,4877928,TOWN OF NEWMARKET,TOWN OF NEWMARKET MAGNA CENTRE,1259,800 MULOCK DRIVE,800,MULOCK,Drive, , ,Newmarket,Newmarket,ONTARIO,CANADA,L3Y9C1,395 MULOCK DRIVE,395,MULOCK,Drive, ,STATION MA,Newmarket,Newmarket,ONTARIO,CANADA,L3Y4X7, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , ,UNDEFINED,UNDEFINED,"RECREATION CENTRE FEATURING THREE ICE RINKS, INDOOR POOL, GYMNASIUM AND WALKING TRACK",0,0,ON,CANADA,100-499,2007,WWW.NEWMARKET.CA,INFO@NEWMARKET.CA,905-953-5303,0,905-953-5339, , , ,12/20/2019,10/2/2015
60859,628858,4859768, ,SNAP FITNESS 24-7,1133,1380 MAJOR MACKENZIE DRIVE EAS,1380,MAJOR MACKENZIE,Drive,E,G3-5,Richmond Hill,Richmond Hill,ONTARIO,CANADA,L4S0A1,1380 MAJOR MACKENZIE DRIVE EAS,1380,MAJOR MACKENZIE,Drive,E,G3-5,Richmond Hill,Richmond Hill,ONTARIO,CANADA,L4S0A1, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,MEMBERSHIP 24 HOUR FITNESS CLUB,0,0,NA,USA,9-May,2007,WWW.SNAPFITNESS.COM/RICHMONDHILL,RICHMONDHILL@SNAPFITNESS.COM,905-884-7627,0, , , ,In Person,12/20/2019,6/19/2019
61058,618062,4850454, ,GOLDEN GLOVES FITNESS INC.,1060,207 EDGELEY BOULEVARD,207,EDGELEY,Boulevard, ,14,Concord,Vaughan,ONTARIO,CANADA,L4K4B5,207 EDGELEY BOULEVARD,207,EDGELEY,Boulevard, ,14,Concord,Vaughan,ONTARIO,CANADA,L4K4B5, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"FITNESS CENTRE, BOXING, MMA, COMBAT FITNESS, AND BOOT CAMPS.",0,0,NA,NOT APPLICABLE,4-Jan,2006,WWW.GOLDENGLOVESFITNESS.COM,GOLDENGLOVESFITNESS@GMAIL.COM,416-569-9381,0, , , ,In Person,12/20/2019,6/28/2019
61443,635112,4888854,TOWN OF EAST GWILLIMBURY,ROSS FAMILY COMPLEX,1331,19300 CENTRE STREET,19300,CENTRE,Street, , ,Mount Albert,East Gwillimbury,ONTARIO,CANADA,L0G1M0,19300 CENTRE STREET,19300,CENTRE,Street, , ,Mount Albert,East Gwillimbury,ONTARIO,CANADA,L0G1M0, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , ,TOURISM,UNDEFINED,"PROGRAM ROOM, SENIORS ROOM, GYMNASIUM",0,0,ON,CANADA,4-Jan,1998,WWW.EASTGWILLIMBURY.CA,CUSTOMERSERVICE@EASTGWILLIMBURY.CA,905-478-3826,0,905-478-8098, , ,other,12/20/2019,9/13/2019
61986,617806,4855597, ,K1 TAE KWON DO,1069,9671 JANE STREET,9671,JANE,Street, ,3,Maple,Vaughan,ONTARIO,CANADA,L6A3X5,9671 JANE STREET,9671,JANE,Street, ,3,Maple,Vaughan,ONTARIO,CANADA,L6A3X5, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"FITNESS CENTRE, TAE KWON DO LESSONS MAINLY FOR CHILDREN",0,0,NA,NOT APPLICABLE,4-Jan,2018,WWW.K1TAEKWONDO.COM,INFO@K1TAEKWONDO.COM,905-879-5500,0, , , ,Phone,12/20/2019,5/16/2017
62113,626207,4861834, ,DYNAMIC BODY WORKS,1413,565 EDWARD AVENUE,565,EDWARD,Avenue, ,10B,Richmond Hill,Richmond Hill,ONTARIO,CANADA,L4C9W8,565 EDWARD AVENUE,565,EDWARD,Avenue, ,10B,Richmond Hill,Richmond Hill,ONTARIO,CANADA,L4C9W8, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"EXERCISE, FITNESS, SPORT SPECIFIC AND PERSONAL TRAINING SERVICES.",0,0,NA,NOT APPLICABLE,4-Jan,2001,WWW.DYNAMICBODYWORKS.CA,LUCYP@DYNAMICBODYWORKS.CA,416-707-6305,0, , , ,Phone,12/20/2019,6/28/2019
62320,612374,4852541, ,SUPERIOR FITNESS STUDIO,1016,5100 RUTHERFORD ROAD,5100,RUTHERFORD,Road, ,11,Woodbridge,Vaughan,ONTARIO,CANADA,L4H2J2,5100 RUTHERFORD ROAD,5100,RUTHERFORD,Road, ,11,Woodbridge,Vaughan,ONTARIO,CANADA,L4H2J2, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,PERSONAL TRAINING STUDIO. GROUP TRAINING AND CLASSES. CORPORATE TRAINING.,0,0,NA,NOT APPLICABLE,9-May,2015,WWW.SUPERIORFITNESSSTUDIO.COM,STEVE@SUPERIORFITNESSSTUDIO.COM,905-893-2991,0, , , ,Phone,12/20/2019,6/8/2018
62449,621357,4879252, ,SPORTCHEK,1252,17600 YONGE STREET,17600,YONGE,Street, ,4A,Newmarket,Newmarket,ONTARIO,CANADA,L3Y4Z1,17600 YONGE STREET,17600,YONGE,Street, ,4A,Newmarket,Newmarket,ONTARIO,CANADA,L3Y4Z1, ,45111,SPORTING GOODS STORES, , , , ,SPORTING GOODS STORE RETAIL,0,0,AB,CANADA,100-499,2018,WWW.SPORTCHEK.CA, ,905-952-0160,0,905-952-0165, , ,In Person,12/20/2019,6/13/2019
62658,639601,4869929, ,SNAP FITNESS,1298,5892 MAIN STREET,5892,MAIN,Street, ,208,Stouffville,Whitchurch-Stouffville,ONTARIO,CANADA,L4A2S8,5892 MAIN STREET,5892,MAIN,Street, ,208,Stouffville,Whitchurch-Stouffvil,ONTARIO,CANADA,L4A2S8, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"GYM, TRAINERS ONSITE.",0,0,NA,NOT APPLICABLE,4-Jan,2008,WWW.SNAPFITNESS.COM,STOUFFVILLE@SNAPFITNESS.COM,905-642-6300,0, , , ,Phone,12/20/2019,5/24/2018
62699,630024,4909046, ,DW & SONS BAIT AND TACKLE,1345,956 LAKE DRIVE EAST,956,LAKE,Drive,E,A,Jacksons Point,Georgina,ONTARIO,CANADA,L0E1L0,59 CATERING ROAD,59,CATERING,Road, , ,Sutton,Georgina,ONTARIO,CANADA,L0E1R0, ,45111,SPORTING GOODS STORES, , , , ,SELL BAIT AND TACKLE. NEWFOUNDLAND SUPPLIES. FISHING EQUIPMENT,0,0,NA,NOT APPLICABLE,4-Jan,2008, , ,905-722-3535,0,905-722-4127, , ,In Person,12/20/2019,5/14/2019
62773,626333,4881010, ,REAL MARKETING GROUP LTD.,1264,1260 JOURNEY'S END CIRCLE,1260,JOURNEY'S END,Circle, ,10,Newmarket,Newmarket,ONTARIO,CANADA,L3Y8Z7,1260 JOURNEY'S END CIRCLE,1260,JOURNEY'S END,Circle, ,10,Newmarket,Newmarket,ONTARIO,CANADA,L3Y8Z7, ,41447,AMUSEMENT AND SPORTING GOODS MERCHANT WHOLESALERS, , , , ,"WHOLESALER DISTRIBUTORS OF SPORTING GOODS FROM OUTSIDE AND INSIDE OF CANADA. SPORTING GOOD DISTRIBUTIONS, CYCLING, GAMES, SNOW, WHOLESALE. ONLINE SHOPPING OPTIONS.",0,0,NA,NOT APPLICABLE,9-May,2011,WWW.HAVINGFUNYET.CA,INFO@HAVINGFUN.CA,905-235-4308,0,905-235-4306, , ,In Person,12/20/2019,5/8/2019
62782,628034,4869382, ,SANGHA CHI YOGA,1140,13433 LESLIE STREET,13433,LESLIE,Street, , ,Oak Ridges,Richmond Hill,ONTARIO,CANADA,L4E1A2,13433 LESLIE STREET,13433,LESLIE,Street, , ,Richmond Hill,Richmond Hill,ONTARIO,CANADA,L4E1A2, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,YOGA AND MEDITATION INSTRUCTION,0,0,NA,NOT APPLICABLE,4-Jan,2012,WWW.SANGHACHIYOGA.COM,JANINECASTELANE@GMAIL.COM,647-927-4778,0, , , ,Phone,4/8/2020,8/31/2018
62967,623919,4877304, ,CROSSFIT GROUNDWORXS,1258,611 STEVEN COURT,611,STEVEN,Court, ,2,Newmarket,Newmarket,ONTARIO,CANADA,L3Y6Z3,611 STEVEN COURT,611,STEVEN,Court, ,2,Newmarket,Newmarket,ONTARIO,CANADA,L3Y6Z3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"PERSONAL TRAINING, CLASSES, WORKOUT",0,0,NA,NOT APPLICABLE,9-May,2016,WWW.CROSSFITGROUNDWORX.COM,INFO@CROSSFITGROUNDWORX.COM,905-868-9391,0, , , ,In Person,12/20/2019,5/15/2019
63684,623745,4872936, ,INDIVIDUAL PERFORMANCE,1454,16 MARY STREET,16,MARY,Street, ,2-Jan,Aurora,Aurora,ONTARIO,CANADA,L4G1G2,16 MARY STREET,16,MARY,Street, ,2-Jan,Aurora,Aurora,ONTARIO,CANADA,L4G1G2, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"TRAINING FACILITY. STRENGTH AND CONDITIONING, PERSONAL TRAINING, INJURY REHAB",0,0,NA,NOT APPLICABLE,4-Jan,2007,WWW.INDIVIDUALPERFORMANCE.COM,DAVID@IPERFORMANCE.CA,905-713-3800,0,905-713-3855, , ,In Person,12/20/2019,6/19/2019
